id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339017679559122949,2020-12-16 01:21:07,when people talk about the bachelor my brain goes bye bye 👼,b'when people talk about the bachelor my brain goes bye bye \xf0\x9f\x91\xbc',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338217404674039809,2020-12-13 20:21:06,"can't stop thinking about this rn?
DREAM - He Loves U Not (Official Video) https://t.co/eC9HsXjGkW","b""can't stop thinking about this rn?\nDREAM - He Loves U Not (Official Video) https://t.co/eC9HsXjGkW""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eC9HsXjGkW', 'expanded_url': 'https://youtu.be/IDjI3SD4Cr4', 'display_url': 'youtu.be/IDjI3SD4Cr4', 'indices': [75, 98]}]}",,en
1337475387639672832,2020-12-11 19:12:36,how do we stop james corden,b'how do we stop james corden',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337016467452268545,2020-12-10 12:49:01,freezing fog?? are they inventing new weather? https://t.co/l9HRZbnhSc,b'freezing fog?? are they inventing new weather? https://t.co/l9HRZbnhSc',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1337016464579170304, 'id_str': '1337016464579170304', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/media/Eo4JZAYXEAAOAIM.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo4JZAYXEAAOAIM.jpg', 'url': 'https://t.co/l9HRZbnhSc', 'display_url': 'pic.twitter.com/l9HRZbnhSc', 'expanded_url': 'https://twitter.com/msiegel95/status/1337016467452268545/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1242, 'h': 580, 'resize': 'fit'}, 'small': {'w': 680, 'h': 318, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 560, 'resize': 'fit'}}}]}",,en
1335953638603231237,2020-12-07 14:25:42,@michelle_ranch @ltwavezzz https://t.co/iFLiGm2TCR,b'@michelle_ranch @ltwavezzz https://t.co/iFLiGm2TCR',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'michelle_ranch', 'name': 'josh', 'id': 191641373, 'id_str': '191641373', 'indices': [0, 15]}, {'screen_name': 'ltwavezzz', 'name': 'everything thee bagel', 'id': 124629983, 'id_str': '124629983', 'indices': [16, 26]}], 'urls': [], 'media': [{'id': 1335953619913465856, 'id_str': '1335953619913465856', 'indices': [27, 50], 'media_url': 'http://pbs.twimg.com/media/EopCvTdW4AA7zg1.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EopCvTdW4AA7zg1.jpg', 'url': 'https://t.co/iFLiGm2TCR', 'display_url': 'pic.twitter.com/iFLiGm2TCR', 'expanded_url': 'https://twitter.com/msiegel95/status/1335953638603231237/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 518, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 914, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 925, 'h': 1215, 'resize': 'fit'}}}]}",,und
1335953016944463873,2020-12-07 14:23:14,@michelle_ranch @ltwavezzz ok but noodle kadoodle,b'@michelle_ranch @ltwavezzz ok but noodle kadoodle',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'michelle_ranch', 'name': 'josh', 'id': 191641373, 'id_str': '191641373', 'indices': [0, 15]}, {'screen_name': 'ltwavezzz', 'name': 'everything thee bagel', 'id': 124629983, 'id_str': '124629983', 'indices': [16, 26]}], 'urls': []}",,tl
1335689323807698945,2020-12-06 20:55:25,@thatSammyKay @jhonnycharles88 this. yes omg,b'@thatSammyKay @jhonnycharles88 this. yes omg',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thatSammyKay', 'name': 'sammy kay', 'id': 88544615, 'id_str': '88544615', 'indices': [0, 13]}, {'screen_name': 'jhonnycharles88', 'name': ""Da'Professor"", 'id': 536688712, 'id_str': '536688712', 'indices': [14, 30]}], 'urls': []}",,en
1335688833178931202,2020-12-06 20:53:28,@thatSammyKay @jhonnycharles88 i feel like there was a rocket ship-type experience to play inside here that I couldn't get enough of,"b""@thatSammyKay @jhonnycharles88 i feel like there was a rocket ship-type experience to play inside here that I couldn't get enough of""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thatSammyKay', 'name': 'sammy kay', 'id': 88544615, 'id_str': '88544615', 'indices': [0, 13]}, {'screen_name': 'jhonnycharles88', 'name': ""Da'Professor"", 'id': 536688712, 'id_str': '536688712', 'indices': [14, 30]}], 'urls': []}",,en
1335331582513729537,2020-12-05 21:13:53,i wish i could stop quoting this scene but unfortunately it’s impossible https://t.co/OmcUq3JT3F,b'i wish i could stop quoting this scene but unfortunately it\xe2\x80\x99s impossible https://t.co/OmcUq3JT3F',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/OmcUq3JT3F', 'expanded_url': 'https://m.youtube.com/watch?v=4QagAGmJcnE', 'display_url': 'm.youtube.com/watch?v=4QagAG…', 'indices': [73, 96]}]}",,en
1335245387947511813,2020-12-05 15:31:22,@merrillinternet @nlyonne @bigmouth u have no idea,b'@merrillinternet @nlyonne @bigmouth u have no idea',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'merrillinternet', 'name': 'merrilljuana', 'id': 2833448912, 'id_str': '2833448912', 'indices': [0, 16]}, {'screen_name': 'nlyonne', 'name': 'natasha lyonne', 'id': 1901546563, 'id_str': '1901546563', 'indices': [17, 25]}, {'screen_name': 'bigmouth', 'name': 'Big Mouth', 'id': 4889963682, 'id_str': '4889963682', 'indices': [26, 35]}], 'urls': []}",,en
