id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339040685316567040,2020-12-16 02:52:32,RT @Jewels__20: OK. Also. I want more of this in season 5. I want the entire cast pulled into the main mystery with Jughead back to being m…,b'RT @Jewels__20: OK. Also. I want more of this in season 5. I want the entire cast pulled into the main mystery with Jughead back to being m\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Jewels__20', 'name': 'julia (kind of on hiatus?)', 'id': 1195226446207344640, 'id_str': '1195226446207344640', 'indices': [3, 14]}], 'urls': []}",,en
1339039287304572929,2020-12-16 02:46:58,RT @azulaswrath: I gave up on riverdale long ago but now that barchie came back in s4 and we'll get content in s5 I couldn't help but come…,"b""RT @azulaswrath: I gave up on riverdale long ago but now that barchie came back in s4 and we'll get content in s5 I couldn't help but come\xe2\x80\xa6""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'azulaswrath', 'name': 'rae ccoty', 'id': 1140832597788037120, 'id_str': '1140832597788037120', 'indices': [3, 15]}], 'urls': []}",,en
1339036035288731649,2020-12-16 02:34:03,"@elizabethdree there’s nothing to watch, it was an article","b'@elizabethdree there\xe2\x80\x99s nothing to watch, it was an article'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'elizabethdree', 'name': 'woye', 'id': 751935914734153732, 'id_str': '751935914734153732', 'indices': [0, 14]}], 'urls': []}",,en
1339035350866427906,2020-12-16 02:31:20,"RT @Jewels__20: The phrasing ""supposed to feel"" is telling. Archie didn't know what love was supposed to feel like. He confused love with l…","b'RT @Jewels__20: The phrasing ""supposed to feel"" is telling. Archie didn\'t know what love was supposed to feel like. He confused love with l\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Jewels__20', 'name': 'julia (kind of on hiatus?)', 'id': 1195226446207344640, 'id_str': '1195226446207344640', 'indices': [3, 14]}], 'urls': []}",,en
1339033616672690176,2020-12-16 02:24:26,"@Jewels__20 it’s not happening, lol https://t.co/pFrJaN0w6f","b'@Jewels__20 it\xe2\x80\x99s not happening, lol https://t.co/pFrJaN0w6f'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Jewels__20', 'name': 'julia (kind of on hiatus?)', 'id': 1195226446207344640, 'id_str': '1195226446207344640', 'indices': [0, 11]}], 'urls': [{'url': 'https://t.co/pFrJaN0w6f', 'expanded_url': 'https://twitter.com/slowburnsftw/status/1338955895540047872', 'display_url': 'twitter.com/slowburnsftw/s…', 'indices': [36, 59]}]}",,en
1339031128955449346,2020-12-16 02:14:33,@stydiasIahey DIDKSKKAKAJS,b'@stydiasIahey DIDKSKKAKAJS',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'stydiasIahey', 'name': 'ً', 'id': 1001922114516070401, 'id_str': '1001922114516070401', 'indices': [0, 13]}], 'urls': []}",,et
1339029762577035264,2020-12-16 02:09:08,"@bxrchies Bhs have created an appearance of being larger than they are, yes","b'@bxrchies Bhs have created an appearance of being larger than they are, yes'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bxrchies', 'name': 'ًellie', 'id': 1249156717537038337, 'id_str': '1249156717537038337', 'indices': [0, 9]}], 'urls': []}",,en
1339028022733590529,2020-12-16 02:02:13,@stydiasIahey screams network mandated https://t.co/8g76KbbHer,b'@stydiasIahey screams network mandated https://t.co/8g76KbbHer',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'stydiasIahey', 'name': 'ً', 'id': 1001922114516070401, 'id_str': '1001922114516070401', 'indices': [0, 13]}], 'urls': [], 'media': [{'id': 1339028013690748930, 'id_str': '1339028013690748930', 'indices': [39, 62], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpUu4kxVgAIFz4q.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpUu4kxVgAIFz4q.jpg', 'url': 'https://t.co/8g76KbbHer', 'display_url': 'pic.twitter.com/8g76KbbHer', 'expanded_url': 'https://twitter.com/slowburnsftw/status/1339028022733590529/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 200, 'h': 112, 'resize': 'fit'}, 'large': {'w': 200, 'h': 112, 'resize': 'fit'}, 'small': {'w': 200, 'h': 112, 'resize': 'fit'}, 'thumb': {'w': 112, 'h': 112, 'resize': 'crop'}}}]}",,en
1339027928676384769,2020-12-16 02:01:50,RT @stydiasIahey: no cause im really wondering did the writers not get bored having to write for those same ships all the time....with the…,b'RT @stydiasIahey: no cause im really wondering did the writers not get bored having to write for those same ships all the time....with the\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'stydiasIahey', 'name': 'ً', 'id': 1001922114516070401, 'id_str': '1001922114516070401', 'indices': [3, 16]}], 'urls': []}",,en
1339027316005998592,2020-12-16 01:59:24,"biggest damn lie on this app at this hour...all bhs do is scream “popularity” and claim “NO ONE likes ba” while creating multiple accounts @‘ing the writers for more bh, it’s very contradictory https://t.co/WPTJ22HWhR","b'biggest damn lie on this app at this hour...all bhs do is scream \xe2\x80\x9cpopularity\xe2\x80\x9d and claim \xe2\x80\x9cNO ONE likes ba\xe2\x80\x9d while creating multiple accounts @\xe2\x80\x98ing the writers for more bh, it\xe2\x80\x99s very contradictory https://t.co/WPTJ22HWhR'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WPTJ22HWhR', 'expanded_url': 'https://twitter.com/bettyandrcws/status/1339025525516406784', 'display_url': 'twitter.com/bettyandrcws/s…', 'indices': [194, 217]}]}",,en
