id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338715525812195332,2020-12-15 05:20:28,any girl who wears love spell from victoria’s secret knows how to fight,b'any girl who wears love spell from victoria\xe2\x80\x99s secret knows how to fight',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337991490346299394,2020-12-13 05:23:24,the way timothee chalamet looks like an ill victorian claymation character and also gave half of the nyu student population chlamydia and i’m still attracted to him. skinny white men who look like they’re one cigarette away from death are truly my weakness and i’m not proud of it,b'the way timothee chalamet looks like an ill victorian claymation character and also gave half of the nyu student population chlamydia and i\xe2\x80\x99m still attracted to him. skinny white men who look like they\xe2\x80\x99re one cigarette away from death are truly my weakness and i\xe2\x80\x99m not proud of it',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337971184240046081,2020-12-13 04:02:43,@2bsolonely omg can she like. get a job,b'@2bsolonely omg can she like. get a job',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '2bsolonely', 'name': 'syd', 'id': 1059206142, 'id_str': '1059206142', 'indices': [0, 11]}], 'urls': []}",,en
1337805761871753222,2020-12-12 17:05:23,another day another girl who bullied me in middle school joining a pyramid scheme,b'another day another girl who bullied me in middle school joining a pyramid scheme',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337433618608762881,2020-12-11 16:26:37,how can i be extremely insecure and have a superiority complex at the same time? choose a struggle bitch! https://t.co/TLlZaJ9Vi8,b'how can i be extremely insecure and have a superiority complex at the same time? choose a struggle bitch! https://t.co/TLlZaJ9Vi8',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1337433614259195910, 'id_str': '1337433614259195910', 'indices': [106, 129], 'media_url': 'http://pbs.twimg.com/media/Eo-EyUCWEAYAalg.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo-EyUCWEAYAalg.jpg', 'url': 'https://t.co/TLlZaJ9Vi8', 'display_url': 'pic.twitter.com/TLlZaJ9Vi8', 'expanded_url': 'https://twitter.com/goIdengabby/status/1337433618608762881/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 582, 'h': 584, 'resize': 'fit'}, 'large': {'w': 582, 'h': 584, 'resize': 'fit'}, 'medium': {'w': 582, 'h': 584, 'resize': 'fit'}}}]}",,en
1337399383814443008,2020-12-11 14:10:35,i have both but one thing i’ll never forget is this tweet because it shows up on my timeline every fucking month https://t.co/u75P5PEgKK,b'i have both but one thing i\xe2\x80\x99ll never forget is this tweet because it shows up on my timeline every fucking month https://t.co/u75P5PEgKK',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/u75P5PEgKK', 'expanded_url': 'https://twitter.com/abbygov/status/1336897067038494722', 'display_url': 'twitter.com/abbygov/status…', 'indices': [113, 136]}]}",,en
1337266092205543426,2020-12-11 05:20:56,he did it.... he did it https://t.co/dhazr1DI3F,b'he did it.... he did it https://t.co/dhazr1DI3F',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1337266089085034506, 'id_str': '1337266089085034506', 'indices': [24, 47], 'media_url': 'http://pbs.twimg.com/media/Eo7sbEIW4AoUedK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo7sbEIW4AoUedK.jpg', 'url': 'https://t.co/dhazr1DI3F', 'display_url': 'pic.twitter.com/dhazr1DI3F', 'expanded_url': 'https://twitter.com/goIdengabby/status/1337266092205543426/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 293, 'h': 360, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 293, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 293, 'h': 360, 'resize': 'fit'}}}]}",,en
1337262881214263302,2020-12-11 05:08:10,i want to skip to no body no crime so badly FUCK,b'i want to skip to no body no crime so badly FUCK',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337262361388920832,2020-12-11 05:06:06,champagne problems 🥺,b'champagne problems \xf0\x9f\xa5\xba',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1337049702706122758,2020-12-10 15:01:04,folklore 2.0 + seasonal depression i don’t know if i can handle this https://t.co/zDTjMV1xTj,b'folklore 2.0 + seasonal depression i don\xe2\x80\x99t know if i can handle this https://t.co/zDTjMV1xTj',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1337049699988230146, 'id_str': '1337049699988230146', 'indices': [69, 92], 'media_url': 'http://pbs.twimg.com/media/Eo4nnj7XUAIz2Dy.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo4nnj7XUAIz2Dy.jpg', 'url': 'https://t.co/zDTjMV1xTj', 'display_url': 'pic.twitter.com/zDTjMV1xTj', 'expanded_url': 'https://twitter.com/goIdengabby/status/1337049702706122758/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 660, 'h': 348, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 660, 'h': 348, 'resize': 'fit'}, 'large': {'w': 660, 'h': 348, 'resize': 'fit'}}}]}",,en
