id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338709801744797697,2020-12-15 04:57:43,https://t.co/KkFp2EmAE2,b'https://t.co/KkFp2EmAE2',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KkFp2EmAE2', 'expanded_url': 'https://open.spotify.com/track/5OXPfNGyUDTMOSaGhbAvOr?si=DircfLmlQ0WJeFt2fTwN7g', 'display_url': 'open.spotify.com/track/5OXPfNGy…', 'indices': [0, 23]}]}",,und
1338704571430932480,2020-12-15 04:36:56,RT @awonderland: I just wanna feel anything,b'RT @awonderland: I just wanna feel anything',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'awonderland', 'name': 'ALISON WONDERLAND', 'id': 26443701, 'id_str': '26443701', 'indices': [3, 15]}], 'urls': []}",,en
1338657284184891392,2020-12-15 01:29:02,RT @_ssandraaa: Know your worth baby even if you get lonely,b'RT @_ssandraaa: Know your worth baby even if you get lonely',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_ssandraaa', 'name': 'S', 'id': 2297085558, 'id_str': '2297085558', 'indices': [3, 14]}], 'urls': []}",,en
1338356820511887360,2020-12-14 05:35:06,Stuck on stupid,b'Stuck on stupid',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338348554771865606,2020-12-14 05:02:15,When do you stop trying,b'When do you stop trying',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338344952967749634,2020-12-14 04:47:56,"RT @DIVINEOPAQUE: the capricorn, taurus, virgo energy &gt;&gt; https://t.co/aqVtTtGNaf","b'RT @DIVINEOPAQUE: the capricorn, taurus, virgo energy &gt;&gt; https://t.co/aqVtTtGNaf'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DIVINEOPAQUE', 'name': 'Syd Divine \U0001f90d💎', 'id': 972778202107170816, 'id_str': '972778202107170816', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1338022543047974912, 'id_str': '1338022543047974912', 'indices': [63, 86], 'media_url': 'http://pbs.twimg.com/media/EpGcaevW4AAxfTD.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpGcaevW4AAxfTD.jpg', 'url': 'https://t.co/aqVtTtGNaf', 'display_url': 'pic.twitter.com/aqVtTtGNaf', 'expanded_url': 'https://twitter.com/DIVINEOPAQUE/status/1338022547963703302/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 458, 'h': 680, 'resize': 'fit'}, 'large': {'w': 641, 'h': 952, 'resize': 'fit'}, 'medium': {'w': 641, 'h': 952, 'resize': 'fit'}}, 'source_status_id': 1338022547963703302, 'source_status_id_str': '1338022547963703302', 'source_user_id': 972778202107170816, 'source_user_id_str': '972778202107170816'}]}",,en
1338304558489997318,2020-12-14 02:07:25,PLEASE FOR THE LOVE OF GOD DO IT https://t.co/m1jvIeNdZ9,b'PLEASE FOR THE LOVE OF GOD DO IT https://t.co/m1jvIeNdZ9',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/m1jvIeNdZ9', 'expanded_url': 'https://twitter.com/sza/status/1338266331741736960', 'display_url': 'twitter.com/sza/status/133…', 'indices': [33, 56]}]}",,en
1338001029124657153,2020-12-13 06:01:18,RT @melanatedmomma: y’all felt that energy shift from moon in scorpio to moon in sagittarius?,b'RT @melanatedmomma: y\xe2\x80\x99all felt that energy shift from moon in scorpio to moon in sagittarius?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'melanatedmomma', 'name': 'Olakemi ☼', 'id': 1176636037, 'id_str': '1176636037', 'indices': [3, 18]}], 'urls': []}",,en
1337898293179731969,2020-12-12 23:13:04,RT @rubenvazquez305: Feliz cumpleaños mi morenita❤️ https://t.co/XKDt1SX7iD,b'RT @rubenvazquez305: Feliz cumplea\xc3\xb1os mi morenita\xe2\x9d\xa4\xef\xb8\x8f https://t.co/XKDt1SX7iD',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rubenvazquez305', 'name': 'El MUCHACHO ALEGRE', 'id': 332903757, 'id_str': '332903757', 'indices': [3, 19]}], 'urls': [], 'media': [{'id': 1337727844684877827, 'id_str': '1337727844684877827', 'indices': [52, 75], 'media_url': 'http://pbs.twimg.com/media/EpCQYxyXUAMULIU.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpCQYxyXUAMULIU.jpg', 'url': 'https://t.co/XKDt1SX7iD', 'display_url': 'pic.twitter.com/XKDt1SX7iD', 'expanded_url': 'https://twitter.com/rubenvazquez305/status/1337727848308731904/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 828, 'h': 1102, 'resize': 'fit'}, 'medium': {'w': 828, 'h': 1102, 'resize': 'fit'}, 'small': {'w': 511, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1337727848308731904, 'source_status_id_str': '1337727848308731904', 'source_user_id': 332903757, 'source_user_id_str': '332903757'}]}",,es
1337889433119379456,2020-12-12 22:37:52,I’m trying,b'I\xe2\x80\x99m trying',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
