id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339065841070067712,2020-12-16 04:32:29,Find a lawyer that will legally get Tony Atwater off the payroll... His $295k tenured salary is ridiculous... https://t.co/o6hZEwWIMl https://t.co/CI5a5wPN0w,b'Find a lawyer that will legally get Tony Atwater off the payroll... His $295k tenured salary is ridiculous... https://t.co/o6hZEwWIMl https://t.co/CI5a5wPN0w',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/o6hZEwWIMl', 'expanded_url': 'https://twitter.com/norfolkstate/status/1338997784712712194', 'display_url': 'twitter.com/norfolkstate/s…', 'indices': [110, 133]}], 'media': [{'id': 1339065837735596033, 'id_str': '1339065837735596033', 'indices': [134, 157], 'media_url': 'http://pbs.twimg.com/media/EpVRSOUXUAEwJex.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpVRSOUXUAEwJex.jpg', 'url': 'https://t.co/CI5a5wPN0w', 'display_url': 'pic.twitter.com/CI5a5wPN0w', 'expanded_url': 'https://twitter.com/uptownwalker/status/1339065841070067712/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 750, 'h': 1334, 'resize': 'fit'}, 'small': {'w': 382, 'h': 680, 'resize': 'fit'}}}]}",,en
1339051680957141001,2020-12-16 03:36:13,@dshauntv Apparently it already happened!,b'@dshauntv Apparently it already happened!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dshauntv', 'name': 'aDVANCEd', 'id': 208713884, 'id_str': '208713884', 'indices': [0, 9]}], 'urls': []}",,en
1339040381149847552,2020-12-16 02:51:19,@Aye_dolph Lol,b'@Aye_dolph Lol',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Aye_dolph', 'name': 'Adolph.', 'id': 304417318, 'id_str': '304417318', 'indices': [0, 10]}], 'urls': []}",,und
1339031621064912897,2020-12-16 02:16:31,@ScorpioSlick 😂 he prolly mowed his own grass and sat on the porch and shit,b'@ScorpioSlick \xf0\x9f\x98\x82 he prolly mowed his own grass and sat on the porch and shit',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ScorpioSlick', 'name': '#ManOfTheHour', 'id': 241614915, 'id_str': '241614915', 'indices': [0, 13]}], 'urls': []}",,en
1339031414956843008,2020-12-16 02:15:41,@maleikwatkins All great things to improve upon,b'@maleikwatkins All great things to improve upon',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maleikwatkins', 'name': 'M.Watkins', 'id': 1049190645414412288, 'id_str': '1049190645414412288', 'indices': [0, 14]}], 'urls': []}",,en
1339020649185087488,2020-12-16 01:32:55,@brandedbycash @YoungWildTycoon Stock went up!💸,b'@brandedbycash @YoungWildTycoon Stock went up!\xf0\x9f\x92\xb8',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'brandedbycash', 'name': 'Ashley', 'id': 29006507, 'id_str': '29006507', 'indices': [0, 14]}, {'screen_name': 'YoungWildTycoon', 'name': 'Rashard', 'id': 55960019, 'id_str': '55960019', 'indices': [15, 31]}], 'urls': []}",,en
1339020348432461824,2020-12-16 01:31:43,So you can schedule tweets on your desktop?,b'So you can schedule tweets on your desktop?',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1339020006152138753,2020-12-16 01:30:21,@MrNoelNoelNoel You a Raiders fan???,b'@MrNoelNoelNoel You a Raiders fan???',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MrNoelNoelNoel', 'name': '🌱', 'id': 1171543454989656064, 'id_str': '1171543454989656064', 'indices': [0, 15]}], 'urls': []}",,en
1339019624122363906,2020-12-16 01:28:50,@maleikwatkins Thats great to hear. What do you think the students need now?,b'@maleikwatkins Thats great to hear. What do you think the students need now?',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maleikwatkins', 'name': 'M.Watkins', 'id': 1049190645414412288, 'id_str': '1049190645414412288', 'indices': [0, 14]}], 'urls': []}",,en
1339019465057591297,2020-12-16 01:28:12,"@UptownPreston @Norfolkstate 😂 Yeah Governor Page, they need to learn to run for they lives when them shots break out.","b'@UptownPreston @Norfolkstate \xf0\x9f\x98\x82 Yeah Governor Page, they need to learn to run for they lives when them shots break out.'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'UptownPreston', 'name': '🎄Caramel Santa 🎄', 'id': 3327958841, 'id_str': '3327958841', 'indices': [0, 14]}, {'screen_name': 'Norfolkstate', 'name': 'Norfolk State University', 'id': 82409533, 'id_str': '82409533', 'indices': [15, 28]}], 'urls': []}",,en
1339019042682773506,2020-12-16 01:26:32,@maleikwatkins Well that's lit... We had to pay $1.25,"b""@maleikwatkins Well that's lit... We had to pay $1.25""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maleikwatkins', 'name': 'M.Watkins', 'id': 1049190645414412288, 'id_str': '1049190645414412288', 'indices': [0, 14]}], 'urls': []}",,en
