id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338710527091101696,2020-12-15 05:00:36,@mhdksafa https://t.co/3A60CgumeE,b'@mhdksafa https://t.co/3A60CgumeE',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mhdksafa', 'name': 'mohamad safa', 'id': 834078524277456897, 'id_str': '834078524277456897', 'indices': [0, 9]}], 'urls': [], 'media': [{'id': 1338710521181331456, 'id_str': '1338710521181331456', 'indices': [10, 33], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpQOIFAXYAAtbX0.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpQOIFAXYAAtbX0.jpg', 'url': 'https://t.co/3A60CgumeE', 'display_url': 'pic.twitter.com/3A60CgumeE', 'expanded_url': 'https://twitter.com/cjr_Rainey/status/1338710527091101696/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 498, 'h': 206, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 498, 'h': 206, 'resize': 'fit'}, 'small': {'w': 498, 'h': 206, 'resize': 'fit'}}}]}",,und
1338708128603496450,2020-12-15 04:51:04,RT @tokitaeII: Despite the electoral college vote today McConnell has yet to acknowledge Biden won the election. If he's waiting for his pu…,"b""RT @tokitaeII: Despite the electoral college vote today McConnell has yet to acknowledge Biden won the election. If he's waiting for his pu\xe2\x80\xa6""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'tokitaeII', 'name': 'Chris Rilling🌊🌊🌊🌍', 'id': 827689621865717761, 'id_str': '827689621865717761', 'indices': [3, 13]}], 'urls': []}",,en
1338707982197157888,2020-12-15 04:50:29,@prchovanec @UROCKlive1 💙💙💙 welcome to the light https://t.co/9ItiZztvZf,b'@prchovanec @UROCKlive1 \xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99 welcome to the light https://t.co/9ItiZztvZf',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'prchovanec', 'name': 'Patrick Chovanec', 'id': 64657863, 'id_str': '64657863', 'indices': [0, 11]}, {'screen_name': 'UROCKlive1', 'name': 'Khashoggi’s Ghost', 'id': 87983041, 'id_str': '87983041', 'indices': [12, 23]}], 'urls': [], 'media': [{'id': 1338707972311158784, 'id_str': '1338707972311158784', 'indices': [49, 72], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpQLztuXEAAOxRE.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpQLztuXEAAOxRE.jpg', 'url': 'https://t.co/9ItiZztvZf', 'display_url': 'pic.twitter.com/9ItiZztvZf', 'expanded_url': 'https://twitter.com/cjr_Rainey/status/1338707982197157888/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 480, 'h': 270, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 480, 'h': 270, 'resize': 'fit'}, 'large': {'w': 480, 'h': 270, 'resize': 'fit'}}}]}",,en
1338707612460838912,2020-12-15 04:49:01,"RT @prchovanec: I used to regret leaving the Republican Party after 2016, because it is the logical vehicle for a lot of things I believe i…","b'RT @prchovanec: I used to regret leaving the Republican Party after 2016, because it is the logical vehicle for a lot of things I believe i\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'prchovanec', 'name': 'Patrick Chovanec', 'id': 64657863, 'id_str': '64657863', 'indices': [3, 14]}], 'urls': []}",,en
1338707073681469442,2020-12-15 04:46:52,@johnfeal2 Melania on her way out the window,b'@johnfeal2 Melania on her way out the window',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'johnfeal2', 'name': '@JohnFeal2', 'id': 1319773183646568448, 'id_str': '1319773183646568448', 'indices': [0, 10]}], 'urls': []}",,en
1338704955797024770,2020-12-15 04:38:28,I'm in Retweet if you are https://t.co/lAEEuI6bEo,"b""I'm in Retweet if you are https://t.co/lAEEuI6bEo""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/lAEEuI6bEo', 'expanded_url': 'https://twitter.com/vincentdonofrio/status/1338696576299118593', 'display_url': 'twitter.com/vincentdonofri…', 'indices': [26, 49]}]}",,en
1338704714981126144,2020-12-15 04:37:30,"@Smilan317 Same here, plus my rent went up 🙄","b'@Smilan317 Same here, plus my rent went up \xf0\x9f\x99\x84'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Smilan317', 'name': 'Schmoo📎', 'id': 2159907348, 'id_str': '2159907348', 'indices': [0, 10]}], 'urls': []}",,en
1338703482531033093,2020-12-15 04:32:36,@williamlegate Staying home. I have Covid 😢,b'@williamlegate Staying home. I have Covid \xf0\x9f\x98\xa2',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'williamlegate', 'name': 'William LeGate 🇺🇸', 'id': 38029205, 'id_str': '38029205', 'indices': [0, 14]}], 'urls': []}",,en
1338680582117658624,2020-12-15 03:01:36,@techranger58 I love you 💞💞,b'@techranger58 I love you \xf0\x9f\x92\x9e\xf0\x9f\x92\x9e',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'techranger58', 'name': 'techranger58', 'id': 1600827997, 'id_str': '1600827997', 'indices': [0, 13]}], 'urls': []}",,en
1338680495970922510,2020-12-15 03:01:16,@techranger58 I'm out for the night but will be back after a good night's rest. Goodnight my friend 💙 https://t.co/0CZAKlkTL5,"b""@techranger58 I'm out for the night but will be back after a good night's rest. Goodnight my friend \xf0\x9f\x92\x99 https://t.co/0CZAKlkTL5""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'techranger58', 'name': 'techranger58', 'id': 1600827997, 'id_str': '1600827997', 'indices': [0, 13]}], 'urls': [], 'media': [{'id': 1338680489436188676, 'id_str': '1338680489436188676', 'indices': [102, 125], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EpPy0ACXEAQR1u5.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EpPy0ACXEAQR1u5.jpg', 'url': 'https://t.co/0CZAKlkTL5', 'display_url': 'pic.twitter.com/0CZAKlkTL5', 'expanded_url': 'https://twitter.com/cjr_Rainey/status/1338680495970922510/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 498, 'h': 248, 'resize': 'fit'}, 'small': {'w': 498, 'h': 248, 'resize': 'fit'}, 'medium': {'w': 498, 'h': 248, 'resize': 'fit'}}}]}",,en
