id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1339017666430963712,2020-12-16 01:21:04,is this the 4th version? https://t.co/zUdW1PAHqb,b'is this the 4th version? https://t.co/zUdW1PAHqb',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/zUdW1PAHqb', 'expanded_url': 'https://twitter.com/taylorswift13/status/1339014864791089152', 'display_url': 'twitter.com/taylorswift13/…', 'indices': [25, 48]}]}",,en
1339001829951238145,2020-12-16 00:18:08,still deserves to be a global smash https://t.co/mM7Iu93ocq,b'still deserves to be a global smash https://t.co/mM7Iu93ocq',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/mM7Iu93ocq', 'expanded_url': 'https://www.youtube.com/watch?v=r4P-WOOUPk4', 'display_url': 'youtube.com/watch?v=r4P-WO…', 'indices': [36, 59]}]}",,en
1338952021949427712,2020-12-15 21:00:13,I’m such a movie theatre go-er. I’m mad I won’t experience this in IMAX 3D. https://t.co/DaMyIt5FSg,b'I\xe2\x80\x99m such a movie theatre go-er. I\xe2\x80\x99m mad I won\xe2\x80\x99t experience this in IMAX 3D. https://t.co/DaMyIt5FSg',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DaMyIt5FSg', 'expanded_url': 'https://twitter.com/discussingfilm/status/1338945703289217024', 'display_url': 'twitter.com/discussingfilm…', 'indices': [76, 99]}]}",,en
1338951498580058116,2020-12-15 20:58:08,Pinkprint on repeat today,b'Pinkprint on repeat today',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338951215875563524,2020-12-15 20:57:01,snapped. https://t.co/ukX9Cf71zV,b'snapped. https://t.co/ukX9Cf71zV',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338951211203121165, 'id_str': '1338951211203121165', 'indices': [9, 32], 'media_url': 'http://pbs.twimg.com/media/EpTpCFNXUA0vaf_.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpTpCFNXUA0vaf_.jpg', 'url': 'https://t.co/ukX9Cf71zV', 'display_url': 'pic.twitter.com/ukX9Cf71zV', 'expanded_url': 'https://twitter.com/iconicslave/status/1338951215875563524/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 315, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 888, 'h': 1920, 'resize': 'fit'}, 'medium': {'w': 555, 'h': 1200, 'resize': 'fit'}}}]}",,en
1338682715877634048,2020-12-15 03:10:05,KDN;SDNF;SD;FSMFS;LFMDSKF https://t.co/yOTE2MGzgy,b'KDN;SDNF;SD;FSMFS;LFMDSKF https://t.co/yOTE2MGzgy',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/yOTE2MGzgy', 'expanded_url': 'https://twitter.com/shanqhai/status/1338545525730254860', 'display_url': 'twitter.com/shanqhai/statu…', 'indices': [26, 49]}]}",,sv
1338622544618905601,2020-12-14 23:10:59,RT @ilCaffeNero: a curb just hit my car. y’all be careful out here,b'RT @ilCaffeNero: a curb just hit my car. y\xe2\x80\x99all be careful out here',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ilCaffeNero', 'name': '.', 'id': 771728009954992128, 'id_str': '771728009954992128', 'indices': [3, 15]}], 'urls': []}",,en
1338621193042223110,2020-12-14 23:05:37,#MyVidster https://t.co/UYjbbZcxrq,b'#MyVidster https://t.co/UYjbbZcxrq',"{'hashtags': [{'text': 'MyVidster', 'indices': [0, 10]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/UYjbbZcxrq', 'expanded_url': 'https://twitter.com/VICE/status/1338454442514018310', 'display_url': 'twitter.com/VICE/status/13…', 'indices': [11, 34]}]}",,und
1338619734275702785,2020-12-14 22:59:49,@madblackvegan back when we were at peace,b'@madblackvegan back when we were at peace',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'madblackvegan', 'name': 'mrs. cuomo', 'id': 1959380125, 'id_str': '1959380125', 'indices': [0, 14]}], 'urls': []}",,en
1338616654385831941,2020-12-14 22:47:35,"RT @RepPaulMitchell: Today I am disaffiliating from the Republican Party. 

See my letter below: https://t.co/76IxC4FMvJ",b'RT @RepPaulMitchell: Today I am disaffiliating from the Republican Party. \n\nSee my letter below: https://t.co/76IxC4FMvJ',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RepPaulMitchell', 'name': 'Rep. Paul Mitchell', 'id': 811632636598910976, 'id_str': '811632636598910976', 'indices': [3, 19]}], 'urls': [], 'media': [{'id': 1338599894416842753, 'id_str': '1338599894416842753', 'indices': [97, 120], 'media_url': 'http://pbs.twimg.com/media/EpOpgwMXYAEDzAq.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpOpgwMXYAEDzAq.jpg', 'url': 'https://t.co/76IxC4FMvJ', 'display_url': 'pic.twitter.com/76IxC4FMvJ', 'expanded_url': 'https://twitter.com/RepPaulMitchell/status/1338599898141356034/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 540, 'h': 680, 'resize': 'fit'}, 'large': {'w': 828, 'h': 1043, 'resize': 'fit'}, 'medium': {'w': 828, 'h': 1043, 'resize': 'fit'}}, 'source_status_id': 1338599898141356034, 'source_status_id_str': '1338599898141356034', 'source_user_id': 811632636598910976, 'source_user_id_str': '811632636598910976'}]}",,en
1338609391285755913,2020-12-14 22:18:43,song of the decade https://t.co/AnunVCeCTM,b'song of the decade https://t.co/AnunVCeCTM',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/AnunVCeCTM', 'expanded_url': 'https://twitter.com/chartdata/status/1338482766191714304', 'display_url': 'twitter.com/chartdata/stat…', 'indices': [19, 42]}]}",,en
